word,meaning_zh
house,房子；住宅
book,书；预订
student,学生
word,单词；话语
need,需要
new,新的
learn,学习
important,重要的
article,文章；物品
simple,简单的
release,发布；释放
reason,原因；推理
context,语境；背景
confirm,确认
filter,筛选；过滤器
recognize,认出；识别
process,过程；处理
balance,平衡
attention,注意力；关注
depend,取决于；依赖
extra,额外的
derive,得出；源自
hypothesis,假设
reinforcement,强化
optimization,优化
trajectory,轨迹；发展路径
inference,推断
dataset,数据集
policy,政策；策略
stumble,绊倒；偶然发现
linger,逗留；持续存在
efficient,高效的
complex,复杂的
exploration,探索
demo,演示
argue,争论；论证
intricate,复杂精细的
ubiquitous,无处不在的
meticulous,一丝不苟的
serendipitous,偶然发现美好事物的
defenestration,把人或物从窗户扔出去
